model,type,tokens_per_sec,latency_sec,vram_gb,response
base,QA,26.8,2.241,2.2,"Leave policy is a critical aspect of HR management as it helps in managing employee absenteeism, reducing employee turno"
base,Extraction,33.1,0.513,2.2,John worked as a HR Manager for 2 years at Infosys.
base,Reasoning,35.7,1.681,2.2,HR should immediately terminate the employee and notify the company's legal department. The legal department will invest
fine_tuned,QA,5.2,11.629,0.82,The company has a flexible and generous leave policy that allows employees to take time off work to care for their famil
fine_tuned,Extraction,5.0,3.394,0.82,John worked as a HR Manager for 2 years at Infosys.
fine_tuned,Reasoning,4.6,12.954,0.82,HR should immediately terminate the employee and inform the company's HR department. The HR department will then investi
quantised_4bit,QA,17.1,3.506,0.77,The company has a flexible and generous leave policy that allows employees to take time off work to care for their famil
quantised_4bit,Extraction,16.4,1.036,0.77,John worked as a HR Manager for 2 years at Infosys.
quantised_4bit,Reasoning,13.6,4.409,0.77,HR should immediately terminate the employee and inform the company's HR department. The HR department will then investi
gguf_cpu,QA,4.0,15.028,0.0,Leave policy is a crucial aspect of HR management. It is designed to ensure that employees are able to take time off wor
gguf_cpu,Extraction,5.3,3.024,0.0,John worked as a HR Manager for 2 years at Infosys.
gguf_cpu,Reasoning,7.7,7.783,0.0,"HR should take the following steps:
1. Conduct an investigation to determine the root cause of the violations.
2. Implem"
